dataset,detector,cheap_mode,full_mode,task,geometry,perception_metric,best_perception_metric,n_sequences,n_frames,action_change_rate,improved_same_action_rate,harmful_full_rate,corr_deltaE_deltaJ,eta_random_20,eta_uncertainty_20,eta_criticality_20,eta_perception_oracle_20,eta_best_perception_metric_20,eta_multimetric_perception_oracle_20,eta_decision_oracle_20,top20_cross_task_overlap,best_trivial_heuristic,best_trivial_eta20,eta_perception_oracle_10,eta_perception_oracle_30,eta_perception_oracle_50,cheap_e2e_ms,full_e2e_ms,cheap_gpu_ms,full_gpu_ms,cheap_mj,full_mj,compute_ratio,energy_ratio
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.272977022977023,0.66996699669967,0.1538461538461538,0.0411664139800773,0.170081219519211,0.0241531540018494,0.0208325056924946,0.155092544589673,0.2737974881634721,0.6995179109185727,1.0,0.282147315855181,ego speed,0.7873982389547349,0.0390614377260249,0.3315206471154514,0.4204322084936914,13.17875574932259,18.469151747922297,5.090202999781468,9.276605500417645,13.85771520826868,33.0498234504539,1.8224431325854602,2.3849402988692967
KITTI,YOLOv8s,cheap_320,full_640,lateral,mono,E1_fn_only,E3_class_aware,21,8008,0.0955294705294705,0.8813714704803813,0.0761738261738261,-0.0340261575800167,-0.4297717023949439,-0.1428134167740966,-0.2088300624457488,-0.2567998003336294,-0.2499739336142038,-0.2678153303678098,1.0,0.282147315855181,uncertainty,-0.1428134167740966,-0.0097565502536147,-0.7576838329765633,-1.0531813956703244,13.17875574932259,18.469151747922297,5.090202999781468,9.276605500417645,13.85771520826868,33.0498234504539,1.8224431325854602,2.3849402988692967
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,oracle,E1_fn_only,E6_risk_weighted,21,8008,0.1717032967032967,0.7799779977997799,0.0786713286713286,0.1406636886358682,0.1947565307724459,0.0162572564433517,0.0204940760580214,0.1979679023612984,0.3305345880471484,0.8322815747840613,1.0,0.5031210986267166,ego speed,0.8642133312258609,0.0655442904921804,0.396341112533797,0.5116019924629701,13.17875574932259,18.469151747922297,5.090202999781468,9.276605500417645,13.85771520826868,33.0498234504539,1.8224431325854602,2.3849402988692967
KITTI,YOLOv8s,cheap_320,full_640,lateral,oracle,E1_fn_only,E5_fp_heavy,21,8008,0.0501998001998002,0.935093509350935,0.0382117882117882,-0.0396262716541657,-0.3214033802467506,0.0599208025105025,0.0912441977685247,-0.2431141843803299,-0.1753875655894733,-0.1117064280477982,1.0,0.5031210986267166,speed + detections,0.2357666549210861,0.0107903168507585,-0.4615326679407611,-0.7221336886195195,13.17875574932259,18.469151747922297,5.090202999781468,9.276605500417645,13.85771520826868,33.0498234504539,1.8224431325854602,2.3849402988692967
KITTI,YOLOv8s,cheap_384,full_640,longitudinal,mono,E1_fn_only,E4_localization,21,8008,0.2262737262737262,0.7159199237368923,0.1473526473526473,0.0319678057020796,0.0854165704629342,0.0593673900875294,0.0359968832253584,0.1598532557078223,0.1991615782559186,0.3719997022584089,1.0,0.3214731585518102,ego speed,0.5076465204605207,0.0779289926435297,0.3302612465662003,0.4560696526150857,14.375552998899366,18.469151747922297,6.090799997764407,9.276605500417645,19.079792539552848,33.0498234504539,1.5230520627540831,1.7321898748081699
KITTI,YOLOv8s,cheap_384,full_640,lateral,mono,E1_fn_only,E3_class_aware,21,8008,0.0566933066933066,0.9294566253574832,0.0402097902097902,-0.0283735677800618,-0.1498818527309523,0.0134165945869592,-0.1385828745055725,-0.088369479903777,-0.085108919157578,-0.0699289993158325,1.0,0.3214731585518102,n detections,0.0136164639892165,-0.057260537389684,-0.2579830607994058,-0.4883937268071207,14.375552998899366,18.469151747922297,6.090799997764407,9.276605500417645,19.079792539552848,33.0498234504539,1.5230520627540831,1.7321898748081699
KITTI,YOLOv8s,cheap_512,full_640,longitudinal,mono,E1_fn_only,E3_class_aware,21,8008,0.1906843156843156,0.753721820501914,0.1327422577422577,0.0394466554330195,0.0581244274223939,0.066677052957993,0.0382624942648494,0.2132954850614844,0.2212879505552745,0.1673313123322087,1.0,0.3882646691635456,ego speed,0.2138044473496287,0.0182900809921925,0.2153857415510729,0.252707746731773,16.721777501516044,18.469151747922297,7.887487499829149,9.276605500417645,27.416376304233527,33.0498234504539,1.1761166658734592,1.2054774520055913
KITTI,YOLOv8s,cheap_512,full_640,lateral,mono,E1_fn_only,E2_fn_fp,21,8008,0.032092907092907,0.9608677158655892,0.0243506493506493,-0.0146978723731029,-0.0186799537576456,0.1552179147288628,-0.0143504436216634,-0.1296345609764293,0.0104200055026471,-0.0506511508092886,1.0,0.3882646691635456,uncertainty,0.1552179147288628,0.0104444521662058,-0.2187420696162769,-0.0940252966686839,16.721777501516044,18.469151747922297,7.887487499829149,9.276605500417645,27.416376304233527,33.0498234504539,1.1761166658734592,1.2054774520055913
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,longitudinal,mono,E1_fn_only,E5_combined,21,8008,0.3018231768231768,0.6637819125919515,0.2029220779220779,0.0031609766987067,0.0577058075873672,0.0365839484590221,0.0354545670664063,0.046167627099005,0.1149033908869359,0.1777414020638531,1.0,0.2290886392009987,speed x empty,0.23320360503187,0.003849661100093,0.1217668681529063,0.2698227064193466,25.30797574945609,43.431309750303626,16.82126900232106,30.96538449972286,326.79452825033354,697.2663115937362,1.840847114177304,2.1336535691919885
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,lateral,mono,E1_fn_only,E1_fn_only,21,8008,0.0701798201798201,0.9244915620943316,0.0457042957042957,-0.0001834555379247,-0.0259919904472469,-0.1368911348919277,-0.2502907951784903,0.0001791259120224,0.0001791259120224,-0.0191508016122305,1.0,0.2290886392009987,closest object,0.3552875464907389,-0.0014896618132682,-0.0286540188344714,-0.0334260238006229,25.30797574945609,43.431309750303626,16.82126900232106,30.96538449972286,326.79452825033354,697.2663115937362,1.840847114177304,2.1336535691919885
