task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,mono,random,False,3376,85,0.04324628087819846,0.012097609329182498,,-0.03810972699697919,0.17813623711828697,0.0,0.1029456037791113,0.028797752578634737,,-0.026787874947771396,0.2673193507954722,0.0,0.15006973612608687,0.04198014263700849,,-0.01991140789561715,0.32319800084862255,0.0,0.2586166080723362,0.07234478033635156,,0.015596786769030216,0.42587407762598145,0.0,,,,,
longitudinal,mono,uncertainty,False,3376,85,0.17274138999685074,0.04832225589635277,0.0029585798816568047,-0.022672280701837216,0.35625813881148855,0.0,0.19781977011073765,0.055337620895739084,0.0014814814814814814,0.009265077887028931,0.3491005497969387,0.0,0.20828809449745497,0.05826600447439506,0.0009871668311944718,-0.002368493229625677,0.3666493428586579,0.0,0.35289749489680067,0.09871868608846981,0.0005924170616113745,0.13734782568952048,0.5061245637953149,0.0,0.017065068785421977,0.013918198875716868,0.4862601767515616,0.14497041420118342,0.19703703703703704
longitudinal,mono,criticality,False,3376,85,0.07008962838376587,0.01960670200987934,0.0029585798816568047,0.011992591644500603,0.16964897297501624,0.0,0.17728780160484559,0.04959405801126964,0.0014814814814814814,0.058996095878602405,0.34332991047436057,0.0,0.30839434368031726,0.08626948291072417,0.0009871668311944718,0.08706508264113988,0.442578638886334,0.0,0.42743299906315413,0.1195690665662225,0.0005924170616113745,0.2036093180021754,0.580796118166919,0.0,0.043117970098407656,0.0343085594716256,0.4665051552200124,0.15088757396449703,0.23851851851851852
longitudinal,mono,perception_oracle_dE,False,3376,85,0.00019129225597807643,5.3511629983594266e-05,0.03550295857988166,-0.06431806448186156,0.05795264105021423,0.0,0.030045747192044538,0.008404924172704458,0.5170370370370371,-0.07975510483528889,0.13922182786315893,0.0,0.0448069313165483,0.012534181883380836,0.3168805528134255,-0.08872419521213773,0.20507665953683485,0.0,0.12467991864291011,0.034877656906135736,0.09774881516587677,-0.09606125729504719,0.33016728948140855,0.0,0.0010446027778174623,0.001120494810253127,0.4959356030614938,0.08875739644970414,0.18666666666666668
longitudinal,mono,best_dE_metric (E6_risk_weighted),False,3376,85,0.10090553754626763,0.028227069417229255,0.0029585798816568047,-0.006412558322639134,0.2551500972162377,0.0,0.1646490591780407,0.04605852697399311,0.0014814814814814814,-0.011036687791056102,0.34794266948506153,0.0,0.17251465390340825,0.04825882929356541,0.0009871668311944718,-0.004782799109740868,0.36440018098499255,0.0,0.1692909030925367,0.04735702508999932,0.1362559241706161,-0.05963074242635854,0.38265089326980856,0.0,0.020512844728279998,0.01773305673609424,0.48153237074988353,0.16272189349112426,0.2740740740740741
longitudinal,mono,multimetric_dE_oracle,False,3376,85,0.1191387472326077,0.0333275831058782,0.0029585798816568047,0.03332442876230071,0.218671526895559,0.0,0.15110765672153223,0.04227048801754595,0.0014814814814814814,0.036666245441244236,0.2755822541331585,0.0,0.2608564365257982,0.07297134449502884,0.0009871668311944718,0.02620474330802577,0.4137182726025727,0.0,0.3416593707074586,0.09557496058711615,0.0005924170616113745,0.08277952028937118,0.5172338280135698,0.0,0.00468379078966793,0.003539809762091579,0.49580272822665267,0.15088757396449703,0.20592592592592593
longitudinal,mono,PKL_gain,False,3376,85,0.07054900127033528,0.019735205862818458,0.0029585798816568047,-0.011551322502016908,0.14912999549969752,0.0,0.08704978184393286,0.024351094049092085,0.0014814814814814814,-0.020115506698677996,0.19440359704869375,0.0,0.10676391122294222,0.029865876607248324,0.0009871668311944718,-0.07131757404512928,0.2271126938654334,0.0,0.1623281180626584,0.04540927255674017,0.2132701421800948,-0.0031011410112365243,0.3088234384693476,0.0,0.007158322948934793,0.005907773327837242,0.4912371529375671,0.12721893491124261,0.21481481481481482
longitudinal,mono,TIP_gain,False,3376,85,0.07557992630239055,0.021142544583427188,0.0029585798816568047,-0.014621007600768864,0.17975895618763865,0.0,0.06844183714344716,0.019145752899883753,0.0014814814814814814,-0.047940254397559445,0.17330531673875613,0.0,0.1511860470109979,0.0422924167262788,0.0009871668311944718,-0.025729186017830037,0.29212802216821715,0.0,0.1729923403415914,0.04839245613484835,0.2109004739336493,-0.01466568692447286,0.34169447771638717,0.0,-0.0068887440765992795,-0.005697318473328248,0.5032648357979643,0.12130177514792899,0.2
longitudinal,mono,decision_oracle_dJ,False,3376,85,1.0,0.2797375654858036,0.21597633136094674,1.0,1.0,0.0,1.0,0.2797375654858036,0.6074074074074074,1.0,1.0,0.0,1.0,0.2797375654858036,0.7384007897334649,1.0,1.0,0.0,1.0,0.2797375654858036,0.8430094786729858,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,mono,uncertainty [scene-z],True,3376,85,0.033148213752201054,0.009272800615243758,0.0029585798816568047,-0.0295357198571762,0.12078013444408282,0.0,0.03136478363666341,0.008773908216509191,0.0014814814814814814,-0.07533514672405338,0.1854157712450484,0.0,0.1479577012341679,0.041389327138122003,0.0009871668311944718,0.0059459622657607,0.3490219512019213,0.0,0.30519012638359794,0.0853731429648524,0.0005924170616113745,0.1312881340819157,0.47862233349583333,0.0,0.06676868070692352,0.0529459027097201,0.44951670912632996,0.10650887573964497,0.22962962962962963
longitudinal,mono,criticality [scene-z],True,3376,85,0.037636866537456876,0.010528445417702294,0.0029585798816568047,-0.05670856757984946,0.14660883817757983,0.0,0.11372015131684743,0.0318117982760521,0.0014814814814814814,-0.025253646209193376,0.23780436980956285,0.0,0.14539998443003369,0.04067383766613137,0.0009871668311944718,-0.005493594782940498,0.32356006040423774,0.0,0.4728840097352289,0.13228342164049797,0.0005924170616113745,0.17705079228639145,0.5933358107222856,0.0,0.035307143669511896,0.028828593793333336,0.4731474429232227,0.11242603550295859,0.22074074074074074
longitudinal,mono,perception_oracle_dE [scene-z],True,3376,85,0.061979358139070295,0.01733795475619625,0.014792899408284023,-0.024594979787374016,0.14935285522114466,0.0,0.11969353882342394,0.033482779154845134,0.008888888888888889,0.0023957996968375066,0.25303928454083835,0.0,0.11791727434645853,0.032985891254399914,0.007897334649555774,-0.01704173649370659,0.2698332418726156,0.0,0.09267951526296848,0.025925941970067184,0.01066350710900474,-0.11391222221897024,0.2814180887403265,0.0,0.015727692621187356,0.012914686901286436,0.48787283777466106,0.10355029585798817,0.23703703703703705
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],True,3376,85,0.14768101983320298,0.04131192895660088,0.0029585798816568047,0.014754019283449804,0.304010858913259,0.0,0.14374947654431128,0.04021212860836426,0.0044444444444444444,-0.01663228394465402,0.33668762782363615,0.0,0.15318129684187365,0.042850563056503956,0.0009871668311944718,-0.021007328995176038,0.33027108072600175,0.0,0.22984446436649036,0.06429613090227056,0.012440758293838863,0.05209258544094316,0.43734137245275595,0.0,0.033938468293691716,0.027384950906511378,0.4738467874794069,0.17159763313609466,0.277037037037037
longitudinal,mono,multimetric_dE_oracle [scene-z],True,3376,85,0.16624609514077537,0.046505277926201787,0.0029585798816568047,0.08546634204499477,0.2567914719687474,0.0,0.14089197883362767,0.03941277915539638,0.005925925925925926,0.02543701326643135,0.25578772859227095,0.0,0.12415993763159669,0.03473219868393207,0.0009871668311944718,-0.023026202659375335,0.33947653962840113,0.0,0.3882832727496112,0.10861741743783651,0.0005924170616113745,0.08766993808739704,0.5418032879926153,0.0,0.003779324206758437,0.002872421226740916,0.49922457445019525,0.14201183431952663,0.19555555555555557
longitudinal,mono,PKL_gain [scene-z],True,3376,85,0.03272361269463123,0.009154023749096477,0.0029585798816568047,-0.04859685620829651,0.14440649998970292,0.0,0.0982440757538567,0.02748255857478674,0.0014814814814814814,-0.027126394716992897,0.19829423338486898,0.0,0.12954092360561628,0.03623746260021757,0.0009871668311944718,-0.009594143995352272,0.2694409155088301,0.0,0.2058636124443535,0.05758778576729643,0.011255924170616114,0.030098521976155576,0.3972084711508758,0.0,0.01541054557452591,0.012348558063203358,0.4884085563892933,0.10946745562130178,0.19111111111111112
longitudinal,mono,TIP_gain [scene-z],True,3376,85,0.0316200808965505,0.008845324450465203,0.0029585798816568047,-0.04227622563944523,0.11875594239797259,0.0,0.13395114054262003,0.03747116594943925,0.0014814814814814814,0.00493891500884732,0.25267041287820524,0.0,0.1294941742450523,0.03622438504790538,0.0009871668311944718,-0.004999340307909079,0.268721511428448,0.0,0.18595580523552893,0.05201882424453911,0.0005924170616113745,0.004992552600474648,0.3928994918782475,0.0,0.014070651079044086,0.011238991606661176,0.48939343101069976,0.10946745562130178,0.20592592592592593
lateral,mono,random,False,3376,85,-0.045209413785309106,-0.003727649546632391,,-0.2938706736154557,0.1620201095629352,0.0025,-0.11307255597444527,-0.009323165834803904,,-0.509689178329042,0.20377649450712423,0.0025,-0.15905748784152618,-0.013114759135267079,,-0.7192183403409754,0.20817790422814345,0.0025,-0.20752550314114504,-0.017111089990512668,,-1.0341494029060412,0.23188559817044183,0.0025,,,,,
lateral,mono,uncertainty,False,3376,85,0.07993991734837333,0.006591282029813145,0.0029585798816568047,-0.5628680524558267,0.5133060884908096,0.0025,0.10154936446972673,0.008373044698699273,0.0014814814814814814,-0.606638435361166,0.5429785377164266,0.0025,0.1348084230691486,0.011115352203465944,0.0009871668311944718,-0.6583975153798282,0.5248304454294908,0.0025,-0.012134054572548523,-0.0010004885982589594,0.0005924170616113745,-1.1156711647886126,0.5059586332315343,0.0025,0.029061703291952016,0.023999876433606914,0.4485366951823503,0.0650887573964497,0.11555555555555555
lateral,mono,criticality,False,3376,85,0.022615679692826893,0.0018647295130631415,0.0029585798816568047,-0.5737549697595675,0.39139721259311483,0.0025,0.05753979625227314,0.004744325959006451,0.0014814814814814814,-0.8585535878173391,0.4034274219317835,0.0025,-0.11635430728216441,-0.009593755912181876,0.0009871668311944718,-1.1715128332441207,0.3490733083077223,0.0025,-0.4175687360994184,-0.03442977423243346,0.0005924170616113745,-1.823675570361719,0.18242694163650314,0.0025,-0.006667024147705255,-0.005405080745077892,0.5153670530382859,0.11538461538461539,0.18814814814814815
lateral,mono,perception_oracle_dE,False,3376,85,-0.08064374637238658,-0.006649314809329572,0.03550295857988166,-0.34796883991724425,0.029406742843539675,0.0025,-0.07673073289906808,-0.006326675304003316,0.5170370370370371,-0.5635545443273909,0.1154837866265131,0.0025,-0.228569355166725,-0.018846217675093323,0.3168805528134255,-1.0019152250070509,0.10057644580113359,0.0025,-0.4820886205236944,-0.039749629054374985,0.09774881516587677,-1.829829073177201,0.1275130336903669,0.0025,-0.027481663907343957,-0.025276799266341417,0.555765595463138,0.10650887573964497,0.1451851851851852
lateral,mono,best_dE_metric (E5_loc_heavy),False,3376,85,0.03269058437317906,0.0026954351276597876,0.0029585798816568047,-0.5238851690497353,0.35315417253276354,0.0025,0.02318629488308758,0.0019117784189697248,0.0014814814814814814,-0.7808165330392094,0.43381531125257583,0.0025,0.015943597219404977,0.0013145966286764153,0.10463968410661402,-0.8753043293499397,0.43957314639522826,0.0025,-0.09831820419127066,-0.0081066260009413,0.0005924170616113745,-1.1037665048825096,0.384322523782697,0.0025,0.009482596335319596,0.007721401751116975,0.4767831920903955,0.13609467455621302,0.2696296296296296
lateral,mono,multimetric_dE_oracle,False,3376,85,0.039744041257049466,0.0032770134573459507,0.0029585798816568047,-0.3060041907307998,0.24191291206867452,0.0025,0.11148218034956033,0.00919203467249266,0.0014814814814814814,-0.30198581477706493,0.38751755773196145,0.0025,-0.013571284541904639,-0.0011189924494506274,0.0009871668311944718,-0.6269809470290035,0.31007235607608935,0.0025,0.014941583928375203,0.0012319776766200072,0.0005924170616113745,-0.6740508870826518,0.3483126668787367,0.0025,0.03150353910620527,0.02559976128181085,0.43926774249522815,0.12721893491124261,0.21037037037037037
lateral,mono,PKL_gain,False,3376,85,0.023746170140830296,0.0019579417857544875,0.0029585798816568047,-0.5006665325292243,0.38310703299391796,0.0025,-0.028389377376504436,-0.002340787921056629,0.0014814814814814814,-0.6666805820423545,0.35515018149960687,0.0025,-0.17095371972790768,-0.014095638551410135,0.0009871668311944718,-1.07119418885518,0.2895617370337589,0.0025,-0.2620813264742409,-0.021609378578803445,0.2132701421800948,-1.2430218608367403,0.16676760390558365,0.0025,-0.000921901570294675,-0.0006695334088242123,0.49747138674474317,0.12721893491124261,0.20592592592592593
lateral,mono,TIP_gain,False,3376,85,0.018994025395783883,0.0015661134314094004,0.0029585798816568047,-0.5468826377377055,0.3991347343235277,0.0025,0.00948973590569105,0.0007824567227192261,0.0014814814814814814,-0.5584015005706443,0.37445986691421956,0.0025,-0.03700538380709641,-0.003051203070814987,0.0009871668311944718,-0.7421967263724759,0.3195617661818428,0.0025,-0.1016673231703611,-0.00838277074157674,0.2109004739336493,-0.8397261899896311,0.28028698401448887,0.0025,0.010653243783348953,0.008887857066706343,0.48743091460153326,0.1301775147928994,0.19703703703703704
lateral,mono,decision_oracle_dJ,False,3376,85,1.0,0.08245295027124855,0.863905325443787,1.0,1.0,0.0025,1.0,0.08245295027124855,0.9318518518518518,1.0,1.0,0.0025,1.0,0.08245295027124855,0.9545903257650543,1.0,1.0,0.0025,1.0,0.08245295027124855,0.9727488151658767,1.0,1.0,0.0025,1.0,1.0,0.0,1.0,1.0
lateral,mono,uncertainty [scene-z],True,3376,85,0.07762315453924225,0.006400258101121583,0.0029585798816568047,-0.27241945050422084,0.2640600903394746,0.0025,0.02121535542886886,0.0017492686461633871,0.0014814814814814814,-0.5595839470292623,0.40964596628399963,0.0025,0.10139994572544496,0.008360724682407415,0.0009871668311944718,-0.6943519104738023,0.5163080942967992,0.0025,0.10257683044298707,0.008457762299497908,0.0005924170616113745,-0.7990783739041737,0.573117415523175,0.0025,0.03059782441238687,0.024852970035616827,0.4507255408172349,0.09763313609467456,0.20296296296296296
lateral,mono,criticality [scene-z],True,3376,85,-0.17562976350613546,-0.014481192156522531,0.0029585798816568047,-0.7324689367980417,0.14160328342528328,0.0025,0.014593785302177068,0.0012033006537896837,0.0014814814814814814,-0.7521339369733885,0.3917493105224982,0.0025,-0.030936693805733818,-0.0025508216759210136,0.0009871668311944718,-1.2431608680101827,0.39945397930854704,0.0025,-0.3349529655543103,-0.027617860212056776,0.0005924170616113745,-1.6647578029844563,0.2186651321382716,0.0025,-0.01386498385038227,-0.011229671150386186,0.5204457704457705,0.1242603550295858,0.2088888888888889
lateral,mono,perception_oracle_dE [scene-z],True,3376,85,-0.14629015935876893,-0.0120620552347816,0.014792899408284023,-0.5188484508757016,0.05900958235615469,0.0025,-0.351931417435726,-0.02901778366071793,0.008888888888888889,-1.1928251485581094,0.020109754933958238,0.0025,-0.3376749832005854,-0.027842298597682558,0.007897334649555774,-1.429297070052594,0.06320874893113788,0.0025,-0.524492849358113,-0.04324598282574995,0.01066350710900474,-1.9983218148643929,0.07196655978240142,0.0025,-0.04101853044122848,-0.03335140742375001,0.5759537976898845,0.10355029585798817,0.20148148148148148
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],True,3376,85,0.03269058437318176,0.0026954351276600105,0.0029585798816568047,-0.5299241021778361,0.3287675959921733,0.0025,0.09803257461757232,0.008083074999905154,0.002962962962962963,-0.6607899050928557,0.4167745444262026,0.0025,0.01505232979326081,0.0012411089999101665,0.0009871668311944718,-0.8571650975706209,0.4413522136618151,0.0025,-0.0959697495569541,-0.007912988987763714,0.0005924170616113745,-1.1063683456004345,0.3896979751175374,0.0025,0.011353197204278161,0.009211596014991915,0.4896875815855887,0.11834319526627218,0.20148148148148148
lateral,mono,multimetric_dE_oracle [scene-z],True,3376,85,0.08251334396246855,0.006803468646451847,0.0029585798816568047,-0.2625974606407916,0.3093041300259655,0.0025,0.07300905447237573,0.006019811937761672,0.0014814814814814814,-0.37368569803338914,0.3633122585357661,0.0025,0.033950162908560864,0.002799291094000356,0.0009871668311944718,-0.4769720876052417,0.327137716292959,0.0025,0.061430749025258254,0.00506514649450517,0.0005924170616113745,-0.6398242873707948,0.39479908987568296,0.0025,0.034877503388907424,0.028336981211214588,0.436687741482262,0.10059171597633136,0.18518518518518517
lateral,mono,PKL_gain [scene-z],True,3376,85,-0.13190427941394853,-0.010875896991083172,0.0029585798816568047,-0.6388419918285814,0.19592052153746953,0.0025,-0.028389377376505785,-0.0023407879210567404,0.0014814814814814814,-0.7500527398508962,0.3652485409819738,0.0025,-0.2232273119234196,-0.018405750449206205,0.0009871668311944718,-1.1485502226857474,0.2050021116556667,0.0025,-0.33082759267517187,-0.027277711047202818,0.011255924170616114,-1.2945383064538698,0.16131222076240187,0.0025,-0.009651061977230481,-0.00788410931538135,0.5181897302001741,0.11834319526627218,0.20296296296296296
lateral,mono,TIP_gain [scene-z],True,3376,85,-0.09105136761975939,-0.007507453886481191,0.0029585798816568047,-0.4963859556057802,0.22210056935997124,0.0025,-0.07604886950514983,-0.006270453655492789,0.0014814814814814814,-0.6948933448020977,0.3222972154202029,0.0025,-0.08452683125756326,-0.006969486614266082,0.0009871668311944718,-0.7860482430594364,0.30265163150519453,0.0025,-0.07149418350383878,-0.005894906357125538,0.0005924170616113745,-0.8710113334940857,0.29723389237119435,0.0025,0.005185169665034258,0.004202121476061715,0.49132292665910876,0.11242603550295859,0.1985185185185185
plannerC_path_dev,mono,random,False,3376,85,-0.008938000680769144,-0.0007550024854105217,,-0.0937259866524268,0.07189069067690362,0.0,-0.01320125340656989,-0.0013160494491270722,,-0.1201992640994298,0.08883626678577272,0.0,-0.02518518288625778,-0.0026131730619515484,,-0.1429325728491032,0.10332865151324047,0.0,-0.038018522162282305,-0.003944739191228726,,-0.21581577243890815,0.132691782271453,0.0,,,,,
plannerC_path_dev,mono,uncertainty,False,3376,85,-0.10272249802452608,-0.008677079369994036,0.0029585798816568047,-0.2177670898557274,-0.018684717802332714,0.0,-0.12041951982048912,-0.012004772413885428,0.0014814814814814814,-0.25380018096371604,-0.006780223423572242,0.0,-0.05730226126804701,-0.005945588174238576,0.0009871668311944718,-0.2242737618618904,0.05400104732845776,0.0,-0.020184006660910983,-0.002094259260563995,0.0005924170616113745,-0.20914707593252074,0.17002684804138743,0.0,-0.011669677763571286,-0.008700354499909956,0.5049479249105702,0.1834319526627219,0.2696296296296296
plannerC_path_dev,mono,criticality,False,3376,85,0.002155945774621555,0.00018211504746825705,0.0029585798816568047,-0.09101831201036131,0.1200271715296111,0.0,0.06277272795243713,0.006257891693897398,0.0014814814814814814,-0.04829906452346516,0.18202613463269987,0.0,0.09620525201954831,0.009982098368359265,0.0009871668311944718,-0.07056476484337373,0.22564155325580748,0.0,-0.010609325366652407,-0.0011008061120232257,0.0005924170616113745,-0.2024002311451371,0.15306437458270494,0.0,0.017067343249496107,0.011790985393196961,0.4941571865367714,0.16863905325443787,0.26814814814814814
plannerC_path_dev,mono,perception_oracle_dE,False,3376,85,-0.08619624683161102,-0.00728108924079036,0.03550295857988166,-0.3030555308992021,0.054870258583585484,0.0,-0.08089000623694147,-0.008064025806445961,0.5170370370370371,-0.30425500339802275,0.09737066239837275,0.0,-0.08557219156186786,-0.008878829542415017,0.3168805528134255,-0.3177103290697593,0.10747679724331657,0.0,-0.08559898224613767,-0.008881609299654078,0.09774881516587677,-0.3601648853212113,0.13897871016098443,0.0,-0.014278327360319264,-0.011226181287702044,0.5087558106743566,0.15976331360946747,0.24592592592592594
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy),False,3376,85,-0.01409216250906472,-0.0011903800524478438,0.0029585798816568047,-0.061132979989601266,0.0684504492928573,0.0,0.04806676258029886,0.00479183562855041,0.0014814814814814814,-0.08355785604913402,0.17517421931798452,0.0,0.058601983682754974,0.006080445229574184,0.10463968410661402,-0.08201411336850548,0.22008983506528335,0.0,0.051693141665273015,0.005363595170120618,0.0005924170616113745,-0.12513300400309124,0.21782088417822554,0.0,-0.0009595461438679153,-0.0013932559144144191,0.5000619693871228,0.15680473372781065,0.24888888888888888
